text,label
"Стебли одиночные или в числе нескольких, в основании покрытые пленчатыми остатками листьев, 4-17 см выс.",0
"При этом представители, например, психоаналитического направления толкуют сознательное как результат превращения бессознательного в процедурах психотерапии (когда «анализанд» приходит к такому же пониманию своего состояния, которое раскрывается «аналистом»).",1
"Т.о.  , теоретическая биология – теоретическая телеология или просто телеология, как любая наука или учение, состоит из понятий (их дефиниций), законов состояния - покоя (сохранения) или движения (изменения), и основанных на понятиях и законах логических (качественных) и математических (количественных) теориях.",1
"Прекубитальное поле переднего крыла простое, без или с 1-2 поперечными жилками.",0
"Смысл жизни - это не только будущее, не только жизненная цель, но и психологическая «кривая» постоянного ее осуществления.",1
Что же такое лингвистика?,1
"апелляция к объяснительным редукционистским теориям должна рассматриваться как регресс психологического знания.""",1
"Таким образом, текст представляет собойсообщение, в котором снимается энтропия, порождаемая отдельным предложением.",1
"Флагеллум антенн с 7 члениками, членики поперечные, последний членик меньших размеров, округлый (рис. 1, 2).",0
одуванчик (мотивирующая С. Д производна от дуть) называется еще пухлянкой (мотивирующая С. Д производна от пухлый);,1
"Но быть подверженным коммуникации - это не то же, что быть повременным ею;",1
Ноги желтые; бедро I зачернено.,0
"Соленидии со, на лапках 1, ш на лапках II, ф на голенях III утолщенные, притупленные; другие соленидии длиннее и тоньше.",0
"Существование, жизнь – цель живой системы;",1
"Сознание рассматривается так же, как тотальность впечатлений, мыслей и чувств, которые создают личность.",1
"Дарвинизм или теория происхождения видов естественным отбором является одной из основных теорий телеологии и состоит из трех частей: из теории изменчивости живых систем, теории естественного отбора в борьбе за существование и теории наследственности (генетики).",1
"феномен значительной избыточности генома эукариот в отношении некодирующих последовательностей нуклеотидов известен в генетике под названием """"парадокса С».",1
"Епифановит оптически двуосный, отрицательный.",0
"Твердость по Моосу В1/», микротвердость, измеренная на П. МТ-3 при нагрузке 150 г (тарированном по NaCl), 1725 кг/мм2 (среднее по 12 замерам, при разбросе 1681-1771 кг/мм2).",0
"На Ляджвардаринском месторождении минерал от голубого и сине-зеленого до темно-синего цвета, окрашен неоднородно; черта голубая до синей, цвет порошка голубой-темно-синий, неоднородный.",0
