text,label
"Тело 3.16, усики 3.04-3.10, в том числе третий членик 0.84-0.85, четвертый членик 0.55-0.56.",0
Нижняя губа продольная серо-желтая с тонкой белой полоской на вершине.,0
"его можно определить как «все, что не интеллект»;",1
"Канонеровнт образует тонкую белоснежную корочку на гранях кристаллов кварца, топаза и касситерита; эта корочка состоит из мелких радиально-пластинчатых агрегатов с величиной кристалликов от долей миллиметра до 1-1.2 мм, хрупких и разрушающихся под иглой.",0
Растение 10-25 см выс.,0
"Усики шести- члениковые, составляют 0.9-1.0 длины тела.",0
В тесном срастании с ним встречаются упомянутые вторичные минералы.,0
Явления наследования и размножения - одна из сторон жизнедеятельности; предок и потомок - не взаимосвязанные объекты;,1
"Край створки узкий бесструктурный, отогнутый.",0
", черновато- или зеленовато-бурые, слабо-блестящие или матовые, с 3-5 расширенными бахромчатыми околоцветными щетинками.",0
"Минерал наблюдался в виде отдельных зерен, размер которых варьировал от 0.01 до 0.15 мм.",0
Остальные тергиты с ячеистой сглаженной скульптурой.,0
"Глаза выпуклые, овальные.",0
"Это воздействие называется «генетической обусловленностью», «наследственностью».",1
"Плотность ванадиопаргасита, измеренная уравновешиванием в жидкости Клеричи путем постепенного разбавления, составила 3.05±0.05 г/см3, рентгеновская плотность - 3.112 г/см3.",0
Под микроскопом он бесцветен.,0
"Углубление под передним глазком небольшое, с ячеистой скульптурой.",0
Каждая пара штрихов включает одну пору.,0
"Смысл жизни - это не только будущее, не только жизненная цель, но и психологическая «кривая» постоянного ее осуществления.",1
фон есть чисто К. ЭД-процесс γe− → e+e−e− и может быть вычислен с требуемой точностью.,1
"О), формирующими полигональный орнамент.",0
"Ноги (рис. 3, 1-4).",0
"Это (навыки XXI века) понятие описывает набор навыков, который обеспечивает согласованность действий и интеграцию различных сфер для достижения успеха в современном мире.",1
"преобладающей формой в живой коммуникации является спонтанная речь, представляющая собой симультанное разворачивание рече-мысли.",1
"«История промышленности,- как отмечал Маркс,- и возникшее предметное бытие промышленности являются раскрытой книгой человеческих сущностных сил, чувственно представшей перед нами человеческой психологией» (цитата);",1
Мелкие и тонкие черви.,0
"Спайность несовершенная, базальная; отдельность не наблюдается.",0
Излом раковистый.,0
"При этом популяция хищника (жертвы) есть не только причина структуры популяции жертвы (хищника), но и следствие.  популяция выступает и как причина и как следствие.  совокупный вещественно-энергетический субстрат организмов популяции остается всего лишь носителем приспособленности.",1
"по: Гайсинович, 1988).",1
Мужские сережки.,0
"Мариинскит не люминесцирует в коротковолновом (254 нм) и длинноволновом (315 нм) ультрафиолетовом свете, в катодных лучах.",0
"В случае разреженных сред под пондеромоторными силами часто понимаются усредненные повремени силы, действующие на отдельный электрон в пространственно-неоднородном электромагнитном поле.",1
Стебли 15-40 см выс.,0
Область губ не обособлена от тела.,0
"Ренетта мешковидная, длине 35-45 мкм, расположена горизонтально на уровне переднего отдела средней кишки.",0
Усики короче тела.,0
Пирамидальных окончаний кристаллов не наблюдалось.,0
"Лобное вдавление четкое, небольшое, в поперечных морщинках по обе стороны от продольного киля.",0
(цитата);,1
"Глазки крупные, расположены на вершинах выростов, имеют пластинку, окруженную широким гиалиновым кольцом.",0
"Имаго, самец.",0
"У диплоидных (полиплоидных) организмов, клетки которых содержат по одному (несколько) набору хромосом каждого из родителей, одинаковые хромосомы получили название гомологичных хромосом, или гомологов.",1
"Дисперсия оптических осей заметная, г > v.",0
"Биологическая система есть и в то же время и химическая, и физическая система, и подчиняется законам химии и физики.",1
Однако прекращение борьбы за существование и вызываемого ею отбора приспособленных означало бы прекращение жизни как особого способа существовании материи.,1
"Грудь на всем протяжении черная, лишь плечевые бугорки коричневые.",0
2V= 50(10)°.,0
"Л. Долежел среди основных параметров текста называет мотив (motif) - главное содержание, которое проходит в разных формах через весь текст (произведение).",1
Ниже будет дана более подробная аргументация этого понятия.,1
Хрупкий.,0
"Флагеллум антенн с 7 члениками, членики поперечные, последний членик меньших размеров, округлый (рис. 1, 2).",0
"1,1).",0
"базисной функцией является Lz -компонента вектора антиферромагнетизма, равная разности проекции спинов атомов 1 и 2 на ось z.",1
Листья 6-15см дл.,0
Два крупных рулька в форме изогнутых “лодочек”.,0
", зев узкий, 1 мм в диам.",0
"Соленидии ф на голенях I и 11, а"" на коленях I, а на коленях II-IV образуют двойную группу со шетинкой d.",0
