text,label
"Смысл жизни   ответственность за ее осуществление, за ее способ связан с потребностью способностью самостоятельно, на свой страх риск, строить осуществлять ее.",1
"Контекст - не что иное,   наше окружение;",1
"При этом популяция хищника (жертвы) есть не только причина структуры популяции жертвы (хищника), но следствие.  популяция выступает   причина   следствие.  совокупный вещественно-энергетический субстрат организмов популяции остается всего лишь носителем приспособленности.",1
Губы низкие.,0
"boldyrevi; яйцеклад короче, чем у последнего вида (.3 раза короче заднего бедра).",0
Термин образ автора предложен В.В. Виноградовым   важнейший из инструментов стилистического анализа художественной речи; этой системе представлений авторское начало – одна из трех составляющих структуры текста (две оставшиеся – тематическая основа рематический сюжет).,1
"Если из семемы вычесть понятийные С. Д, то остатке окажется совокупность непонятийных С. Д. Эту совокупность мы именуем лексическим фоном.",1
", их обозначения - табл. .",0
"Есть лишь система речевых действий, входящих  ую-то деятельность - целиком теоретическую, интеллектуальную или частично практическую.",1
Определение «один ген – один фермент» также оказалось неточным; определение «один ген – одна полипептидная цепь» также устарело.,1
"«скромный информатор» – автор объективированной информации без выражения  их либо позиций по отношению к ней; репортёр – участник событий, повествующий о них – достигающий эффекта присутствия, иногда за счет не только вербальных, но визуальных средств («фото автора»); аналитик – автор, рассуждающий о значимости тех или иных событий их последствий; выносящий обоснованные, аргументированные оценки.",1
Усики монохромные.,0
Тело черное.,0
"«монолог является значительной степени искусственной языковой формой» (из цитаты); письменный язык является искусственным, графическим изображением устного; а именно: текст - это целенаправленное речевое произведение, состоящее из неопределенного количества грамматических структур (предложений) при этом имеющее определенный смысл, той или иной степени отличный от смысловых показателей этих грамматических структур.",1
что оно  (идеальное) является общественно-историческим продуктом;,1
"За ними стоит общественная практика, откристаллизованная значениях.",1
"Прицветники .6-3 , обратнояйцевидные или продолговатые, верхушке тупые или закругленные, бурые, обеих сторон опушенные длинными волосками (опушение изнутри более густое).",0
"базисной функцией является Lz -компонента вектора антиферромагнетизма, равная разности проекции спинов атомов 1 2 на ось z.",1
"Модель модифицированной гравитации стоит рассматривать   альтернативу О. ТО; заряд, являющийся эффективным проявлением дополнительных измерений.",1
", подземной части утонченные, поперечном сечении округлые, тонкие,.5 диам.",0
"Четыре головные сенсиллы форме тонких щетинок .0- .5 мкм, что равно 22-26% диаметра области губ.",0
"Л. Долежел, наоборот, рассматривает текст   автономную семиотическую структуру (из цитаты);",1
"Мандибула 3-зубчатая, большим нижним зубцом, ее высота у основания (см.  сбоку)  раза больше наименьшего расстояния между выемкойверхним мандибулярным килем.",0
Темно-коричневый.,0
"Епифановит оптически двуосный, отрицательный.",0
"Соленидии, лапках , ш лапках II, ф голенях III утолщенные, притупленные дистально; другие соленидии длиннее тоньше.",0
"Передний глазок удален от поперечного киля расстояние, равное двум продольным диаметрам глазка.",0
Сам принцип детерминизма может быть рассмотрен   форма редукции неопределенности.,1
"Даже сама идея хроногеометрии о времени   о четвертом измерении пространства - времени; формы пространства времени, будучи абсолютными условиями бытия; представление о временной последовательности одноместных событий   односторонней причинно-следственной связи; биологическое время остается организменным понятием; организменное время следует считать физическим временем.",1
"Это (навыки XXI века) понятие описывает набор навыков, который обеспечивает согласованность действий интеграцию различных сфер для достижения успеха современном мире.",1
Створки выпуклые плоской центральной частью лицевой поверхности.,0
"Задние чешуйки асимметричные, очень коротким шипом.",0
нерок .9-3.,0
Обычно каждая пара штрихов включает пору.,0
"I, 4).",0
Ширина головы составляет 0.8-0.9 наибольшей ширины пронотума.,0
При сгруктурном исследовании минерала обнаружено микродвойникование (см.  ниже).,0
"Экзоны – участки Д. НК, копии которых со- ставляют зрелую Р. НК.",1
Не растворим воде не флуоресцирует.,0
Просвет фаринкса сильно к тикулизирован.,0
З (рис. 4/).,0
"Кроме того, при изучении современного вулкано- гснно-эксгаляционного преимущественно медного рудопроявления Втором конусе С. П Б. ТТ.",0
"Плотность, вычисленная из эмпирической фор мулы параметров элементарной ячейки, равна .667 г/см3.",0
"Третий членик .3-.6 раза длиннее 4-го, равен 0.8-.0 6-го членика, .0-.3 шпица, 3-12, норме 4-8, вторичными ринариями базальной части (рис.  б).",0
Ванадиопаргасит образует преимущественно гипидиоморфные коротко- длиннопризматические кристаллы размером 0.10-0.80 X 0.05- 0.10.,0
агрегатах канонеровита кое-где позднее отложился тонкочешуйчатый желтовато-белый мусковит единичные кристаллики стеллерита.,0
"Один из теоретиков полезности экономист Bross (1953) так определяет значение пользы: «Суд последней инстанции - это по блестящий словесный аргумент, не солидно звучащий абстрактный принцип даже не ясная логика или математика, - это результат реальном мире».",1
"клетках лучейаксиальной паренхимы обнаружены кристаллы оксалата кальция кристаллический песок (обр. 261, табл.",0
тела 6.0-8.8.,0
"основании стебель несет светлые бледно-зеленые или слабо охристо-окрашенные чешуевидные листья, верхний из которых трехгранной внизу плоской вверху узкой пластинкой до 10-12 см. Корневище короткое, стебли плотно скучены.",0
"Шпоры рыжие, почти прямые, короткие, всех ногах короче первого членика лапки.",0
"Кустарник или невысокое дерево довольно сильно опушенными молодыми побегами; кора ветвей серая; колючки малочисленные или вовсе отсутствуют, тонкие, до см.   почки мелкие, шаровидные, -4 диам.",0
переднем конце тела до уровня заднего конца фаринкса кольца кутикулы орнаментированы поперечными рядами палочковидных мелких склероций.,0
"Интегумент (рис. 1, 1,).",0
"Из темпоральных щетинок головы присутствуют 5-6 наружных вертикальных, внутренняя вертикальная 3 посторбитальные.",0
тонких сколах прозрачный.,0
"Плотность, измеренная методом уравновешивания тяжелых жидкостях, составляет 2.88(3), вычисленная из структурных данных - .94 г/см3.",0
", при основании железистые.",0
