text,label
"Интроны – участки Д. НК, копии которых удаляются из первичного транскрипта и отсут­ ствуют в зрелой Р. НК.",1
"трудовая деятельность не есть простая совокупность трудовых действий, не есть беспорядочное проявление организма, точно так же речевая деятельность не есть совокупность речевых актов, совокупность «брошенных» высказываний.",1
"Оно представляет собой и отношение людей друг к другу, и их взаимодействие, и обмен информацией между ними, их духовное взаимопроникновение.",1
Излом ступенчатый.,0
В тонких сколах прозрачный.,0
"Этот образ и есть то, как я представляю себе данное высказывание как целое.",1
В этой системе представлений авторское начало – одна из трех составляющих структуры текста (две оставшиеся – тематическая основа и рематический сюжет).,1
Контекст - это понятие эко- логическое.,1
Пространственную организацию ядра также рассматривают как «механизм эпигенетической регуляции»;,1
где M - матричный элемент процесса;,1
"""Вьюрки - очень плохие летуны;",1
"В отечественной психологии под навыком принято понимать действие, доведенное до автоматизма путем многократных повторений;",1
", довольно узкие, зеленые; наружные листочки обертки от яйцевидных до яйцевидно-ланцетных, прилегающие к внутренним, но краям довольно широкобеловатые, почти перепончатые, с заметными жилками, без рожков, внутренние листочки линейно-ланцетные, без рожков или отчасти с едва заметными рожками.",0
"Как уже отмечалось, идеальное является не индивидуально- психологическим, а общественно-историческим фактом.",1
"Цветки розовые, розоватые, желтоватые.",0
Длина (мм).,0
"А каждое социальное взаимодействие людей, каждый коммуникативный акт, при всей его типичности – явление столь же уникальное, сколь неповторим облик языковой личности.""",1
И эту ситуацию хочется назвать имитацией авторства.,1
Под текстом Ю.М. Лотман понимает «...,1
"В первом приближении можно предположить, что изменчивость, наблюдаемая на данном уровне организации (материи), есть результат комбинаторики элементов разнообразия предшествующего, более низкого (предыдущего) уровня организации.",1
При сгруктурном исследовании минерала обнаружено микродвойникование (см.  ниже).,0
"Стебли одиночные или в числе нескольких, в основании коротко покрытые пленчатыми остатками листьев, 4-17 см выс.",0
Спайность не наблюдается.,0
"Марксистская психология рассматривает сознание как функцию мозга, представляющую собой специфически человеческое отражение бытия.",1
"Ободки ясные, наклонные.",0
В рамках этой аксиоматики жизнь можно определить как целесообразное самодвижение или самопокой.,1
В проходящем свете зерна прозрачны.,0
"Счастье - это скорее состояние, дление.",1
"В англо-американской традиции  навык (skill) – это сложно организованный поведенческий паттерн, приобретаемый в результате тренировки и практики.",1
"«Сознание,-писал Маркс,-с самого начала есть общественный продукт и остается им, пока вообще существуют люди» (цитата);",1
"Пронотум темно-бурый, без пятен, передние утлы осветлены.",0
Ориентировка: Yи Z лежат в плоскости а. Ъ.,0
Экзокарп из мелких клеток.,0
"Интенсиональность и экстенсиональность значения - это, по сути, две стороны данного процесса, свидетельствующие о его целостной и эластичной природе.",1
"Плотность, измеренная пикнометрически - 2.01(1) г/см3, вычисленная по эмпирической формуле - 2.001 г/см3.",0
В задней части клетки обнаружены только субмембранные микротрубочки (рис. 45).,0
"апелляция к объяснительным редукционистским теориям должна рассматриваться как регресс психологического знания.""",1
Смысл жизни как стремление с наибольшей полнотой реализовать себя в жизни;,1
"Чешуи яйцевидные или узкояйцевидные, 3.5 X 1.7 мм.",0
"Ее длина, измеренная посредине, в 2.7 раза меньше ширины.",0
"discours – речь) – связный текст в его совокупности с экстралингвистическими – прагматическими, социокультурными, психолингвистическими и др.",1
"Они собраны в ажурные агрегаты неправильной, реже сферической (рис. 1, а) формы.",0
"Таким образом, контекст - это лингвистическая ситуация.",1
"""темный фотон (Т. Ф) A′ - массивный векторный бозон, который может смешиваться с обычным фотоном посредством «кинетического смешивания».",1
"Гоностиль (рис. 2, 2) короткий, длина в 1.8 раз больше его ширины, крупный с широко усеченной слегка вытянутой к конечному зубцу вершиной, окруженный тонкими щетинками и группой мелких зубчиков над конечным.",0
Обычно каждая пара штрихов включает одну пору.,0
Черта белая.,0
"Диалог таким образом - это не то, что выбирается, а то что испытывается;",1
На клипеусе 9 щетинок.,0
Самец (голотип).,0
Попытки измерить плотность минерала методом уравновешивания в тяжелых жидкостях не дали удовлетворительного результата по причине ажурного характера агрегатов.,0
Физические и оптические свойства.,0
"Ими создается то, что называют генетическим единством органического мира во времени.",1
"boldyrevi, а генитальная - промежуточная между таковыми этих видов по форме; гениталии (рис. 2, 5;",0
"Окончание этого отростка служит источником плазменных «пуль», представляющих собой светящиеся следы распространения волн ионизации, скорость движения которых составляет примерно 200 км/с . Именно она называется апокампом.",1
"Клубень шаровидный, 1-1.5 см в диам.",0
Что же такое лингвистика?,1
"Остальная поверхность головы в мелких ячейках, на фоне которых расположены крупные точки.",0
"Кристаллы толбачинского стеклита - гексагональные пластинки, чаще же здесь встречаются его многоугольные, неправильной формы, пластинчатые индивиды.",0
"благодаря чему каждая точка края тени становится уникальной пробой потенциала Ч. Д; a = J/M - угловое ускорение Ч. Д, M - ее масса, а J - угловой момент.",1
"Другой - это любой объект, образ которого проявляется в наших действиях и, соответственно, в формировании нашего «собственного» образа, т.е.  нашей самоидентичности.",1
"Глазки крупные, расположены на вершинах выростов, имеют тонко перфорированную пластинку, окруженную широким гиалиновым кольцом.",0
Голень с 195-198 сенсиллами.,0
"где g - элемент симметрии пространственной группы, заданный в представлении Вигнера – Зейтца, rj , ri - радиус-векторы иона с номером j в нулевой примитивной ячейке до преобразования, а с номером i - в той же ячейке после преобразования, ap - возвращающая трансляция.",1
"Исходя из сказанного, функциональное состояние мозга можно определить как звено в системной реакции организма, проявляющееся в виде интегрального динамического комплекса наличных характеристик тех функций и качеств нервных структур, которые прямо или косвенно обусловливают выполнение деятельности""",1
"Звягинит хрупкий, спайность совершенная по {001}; под микроскопом видны еще два направления средней спайности, приблизительно перпендикулярные как друг другу, так и грани.",0
"h38 = 43 = S43 - инверсионный поворот вокруг оси z, отражения соответственно в плоскостях ( ̄110) (110), h4 - поворот вокруг оси z на 180◦, h3, h2 - повороты на этот же угол соответственно вокруг осей y и x.",1
"Смыслу жизни противостоит отчуждение жизни от человека - лишение его реальных действии, поступков, их ценности, значимости, превращение их в функциональные.",1
"Фамулюс (е) конический, короткий.",0
"В этом плане коммуникация представляет собой повседневный, обыденный процесс, участниками которого -наряду с нами - становятся любые объекты;",1
Экскреторн пора локализуется слегка позади нервного кольца.,0
"Покровы тела и ног с микроямками (видимы только под иммерсионным объективом, х. ЮО.",0
"Спайность совершенная, но излом листоватый.",0
"О), формирующими полигональный орнамент.",0
Красч = 50°.,0
"Стебель тупотрехгранный внизу и остротехгранный в средней и верхней части, на верхушке переходит в трехгранный прицветный лист, который немного длиннее, равен или короче соцветия.",0
"Межсосудистая поровость точечная очередная, окаймленные поры расположены свободно.",0
Земная жизнь - это «суета сует».,1
"Секреторные канальцы но 1-4 в ложбинках, на комиссуральной стороне 5-6; реберные секреторные канальцы отсутствуют.",0
"Длина передних крыльев в 2.5 раза больше их ширины, Стигмальная жилка в 4.3 раза больше маргинальной и в 1.4 раза меньше постмаргинальной жилки.",0
чашелистики до 25 мм дл.,0
Третий параметр стилистического анализа авторского начала – его удельный вес в тексте.,1
boldyrevi); его окраска и строение похожи на таковые Ph.,0
