text,label
"Ведь психика – это не просто система , а суперпозиция , т.е. взаимоналожение разноуровневых систем – феноменологической , социальной , психофизиологической и др. » ( цитата )  .",1
Темя с поперечным килем .,0
"Цвет в образцах и зернах под бинокуляром ярко-зеленый до изумрудно-зеленого , но порошок бледно-зеленый .",0
На втором членике лапок 15-24 волоска разной длины ( рис. ) .,0
Самец .,0
"Редкоземельные элементы , TM - переходные элементы , B - атомы бора ; Ключевой характеристикой шума является спектральная плотность W ( f ) , характеризующая распределение мощности случайного сигнала по частотному спектру f .",1
"`` любое функциональное состояние является результатом включения мозга в конкретную деятельность , в ходе которой оно активно преобразуется , обусловливая успешность реализации этой деятельности .",1
"Явление было названо апокампическим разрядом или апокампом ; Окончание этого отростка служит источником плазменных « пуль » , представляющих собой светящиеся следы распространения волн ионизации , скорость движения которых составляет примерно 200 км/с  .",1
Тело крупное ( по величине почти как у Ph . boldyrevi ) ; его окраска и строение похожи на таковые Ph .,0
Длина ( мм ) .,0
"Общественные идеи , взгляды , настроения и т. п. - это не нечто « витающее » над людьми , а формирующиеся в процессе развития общества идеи , взгляды , настроения конкретных людей , живущих и действующих в конкретных исторических условиях . ''",1
"Отдельные кристаллы под микроскопом и в иммерсии бесцветные , прозрачные .",0
Черта белая .,0
"« клавитурщик » – технический создатель текста , никак не выражающий своей позиции по обсуждаемым проблемам ; Третий параметр стилистического анализа авторского начала – его удельный вес в тексте .",1
"boldyrevi , но анальная пластинка более сходна с таковой Ph .",0
Описание .,0
"Соленидии ф на голенях I и 11 , а '' на коленях I , а на коленях II-IV образуют двойную группу со шетинкой d .",0
"Показатели преломления определены иммерсионным методом ( X 589 нм ) : пи = 1.603 ( 2 ) , пе = 1.605 ( 2 ) .",0
Такие модификации системы называются энантиоморфными .,1
"Лента лЗ хорошо заметна вблизи второй пары кинетосом и представляет собой С-образную структуру из микротрубочек и фибриллярной пластинки , соединенных тонкими фибриллами ( рис. 3Л 3Ж ) .",0
"Боковые грани пластинок проиндицировать не удалось , предположительно это { 100 } или/и { 110 } .",0
"В более широком аспекте смысл - это ценность и одновременно переживание этой ценности человеком в процессе ее выработки , присвоения или осуществления .",1
Узкая пленчатая верхушка чешуи без ресничек по краю или с немногими короткими ресничками .,0
Губы низкие .,0
"Кубитоанальное поле переднего крыла однорядное , без добавочных поперечных жилок , лишь между 2А и ЗА имеется замкнутая пятиугольная ячейка .",0
Структурность и целенаправленность - вот две важнейшие характеристики всякой специфически человеческой деятельности .,1
"( цитата ) ; Анализируя эту точку зрения , Б. Ф. Ломов отмечал : `` По нашему мнению , противопоставление социального и интериндивидуального неправомерно , отношение между ними - это отношение явления и сущности , единичного и общегоОна рассматривает общение на уровне индивидуального бытия человека » ( цитата ) ; Основной механизм , объединяющий людей в массу независимо от характера совместной деятельности , - психологическое заражение .",1
"Лоб с продольной срединной бороздкой , более заметной около усиковых бугорков .",0
эмпирическая выборка во временной точке могла бы считаться случайной выборкой ; сама постановка вопроса о выборке и природной совокупности и есть вопрос относительной объективности .,1
"Сред неси инка с парапсидальными бороздами , достигающими Уг ее длины , с грубоячеистой скульптурой .",0
"трудовая деятельность не есть простая совокупность трудовых действий , не есть беспорядочное проявление организма , точно так же речевая деятельность не есть совокупность речевых актов , совокупность « брошенных » высказываний .",1
"Плоды голые , яйцевидные , слегка сжатые с боков , карпофор двураздельный , комиссура узкая .",0
"Многолетник с толстым волокнистым корнем и корневищем , несущими спящие почки и цветоносные стебли .",0
Пе плсохроируст .,0
популяция выступает и как причина и как следствие .,1
