text,label
апикальным шипом (рис. ).,0
"Усики шести- члениковые, составляют 0.9-.0 тела.",0
"его можно определить   «все, что не интеллект»;",1
Черта белая.,0
Растение 60-80 см выс.,0
"Ноги длинные слабо головчатыми волосками, 1-м членике лапок 5, 5, 5 волосков.",0
"Дисперсия оптических осей заметная, г > v.",0
"Даже сама идея хроногеометрии о времени   о четвертом измерении пространства - времени; формы пространства времени, будучи абсолютными условиями бытия; представление о временной последовательности одноместных событий   односторонней причинно-следственной связи; биологическое время остается организменным понятием; организменное время следует считать физическим временем.",1
Двугубые выросты расположены между глазками.,0
"Волокнистые трахеиды средней толщиной стенок 3.-3.4 мкм, несущие поры слабо заметным или неразличимым окаймлением (обр. 260, табл. ).",0
Минералогия.,0
тела .74.,0
"Над вдавлением морщинки расположены дугообразно, образуя круг.",0
"При этом популяция хищника (жертвы) есть не только причина структуры популяции жертвы (хищника), но следствие.  популяция выступает   причина   следствие.  совокупный вещественно-энергетический субстрат организмов популяции остается всего лишь носителем приспособленности.",1
Ванадиопаргасит образует преимущественно гипидиоморфные коротко- длиннопризматические кристаллы размером 0.10-0.80 X 0.05- 0.10.,0
"Иногда стеклит формирует, как правило, вместе эвхлорином, алюмоключевскитом, лаш бейнитом гематитом, тонкие корочки площадью до .5x.5 см поверхности вулканического шлака (рис. , б).Стеклит Толбачика прозрачный, бесцветный, агрегатах белый до сероваго-белого.",0
"Усики 11-члениковые, булава усиков 6-член иковая.",0
Обычно каждая пара штрихов включает пору.,0
"Смысл жизни - это не только будущее, не только жизненная цель, но психологическая «кривая» постоянного ее осуществления.",1
"где c0 - концентрация раствора.""",1
Эпимеральная область (рис. .,0
Внутренние губные сенсиллы форме мелких папилл едва заметны.,0
"Это (навыки XXI века) понятие описывает набор навыков, который обеспечивает согласованность действий интеграцию различных сфер для достижения успеха современном мире.",1
"Универсально-предметный код – это язык, который, по словам Жинкина, «может быть охарактеризован некоторыми общими чертами» (из цитаты);",1
"За ними стоит общественная практика, откристаллизованная значениях.",1
Экскреторн пора локализуется слегка позади нервного кольца.,0
Агрегаты состоят из очень мелких удлиненных пластинчатых кристаллов объединенных параллельные или расходящиеся пучки (рис. ).,0
"Измерения проведены микротвердометре У. И П. МТ-3 при нафузке 50 г. Все отпечатки сопровождались микротрещинами - «усиками» из-за значительной хрупкости минерала, иногда плоскими асимметричными выколками.",0
Под микроскопом он бесцветен.,0
"(из цитаты) Наконец, результат деятельности целого организма также является «судом последней инстанции».",1
"Прицветники .6-3 , обратнояйцевидные или продолговатые, верхушке тупые или закругленные, бурые, обеих сторон опушенные длинными волосками (опушение изнутри более густое).",0
"Значение плотности, измеренное методом тяжелых жидкостей, составляет .48(3) г/см3.",0
Под размером тени будем понимать ее диаметр вдоль оси вращения.,1
", подземной части утонченные, поперечном сечении округлые, тонкие,.5 диам.",0
таких колец 27-35.,0
"Головогрудь овальная, спереди тупо",0
Грудь.,0
"Оптическая ориентировка: Ng = а, Nm = b.",0
"Сред неси инка парапсидальными бороздами, достигающими Уг ее, грубоячеистой скульптурой.",0
(цитата);,1
Створки выпуклые плоской центральной частью лицевой поверхности.,0
"Имаго, самец.",0
"Следовательно, под геномом организма настоящее время понимают суммарную Д. НК гаплоидного набора хромосом каждого из внехромосомных генетических элементов, содержащуюся отдельной клетке зародышевой линии многоклеточного организма.",1
Вычисленная плотность равна 3.56 г/см3.,0
"Следует также отметить, что прионизация белков шире – образование амилоидных агрегатов вовсе не обязательно представляет собой патологический процесс.",1
Земная жизнь - это «суета сует».,1
передней шпоры передних голеней у сухих экземпляров кажется небольшой не доходит до середины задней шпоры.,0
Некоторые кристаллы полисинтетически сдвоиникованы по (100); компоненты двойника связаны матрицей перехода.,0
"Л. Долежел, наоборот, рассматривает текст   автономную семиотическую структуру (из цитаты);",1
СОдействия компонентов на получение фокусированного полезного результата.,1
"Хрупкий, твердость около .5-3 (по Моосу), спайность слабая по (010).",0
Опушение груди брюшка светлое.,0
Тело крупное (по величине почти как у Ph.,0
"где g - элемент симметрии пространственной группы, заданный представлении Вигнера – Зейтца, rj , ri - радиус-векторы иона с номером j нулевой примитивной ячейке до преобразования, а с номером i - той же ячейке после преобразования, ap - возвращающая трансляция.",1
"основании стебель несет светлые бледно-зеленые или слабо охристо-окрашенные чешуевидные листья, верхний из которых трехгранной внизу плоской вверху узкой пластинкой до 10-12 см. Корневище короткое, стебли плотно скучены.",0
"Желобок хелицер по переднему краю длинными щетинками, покрытыми мельчайшими бугорками (рис.",0
"Кустарник или невысокое дерево довольно сильно опушенными молодыми побегами; кора ветвей серая; колючки малочисленные или вовсе отсутствуют, тонкие, до см.   почки мелкие, шаровидные, -4 диам.",0
"Ренетта мешковидная, 35-45 мкм, расположена зентрально уров) переднего отдела средней кишки.",0
образующими нотогастре тонкие прерывистые поперечные полосы.,0
AR .46-.52.,0
Епифановит имеет бирюзово-голубой цветбледно-голубую черту.,0
Стеклит оптически одноосный отрицательный.,0
", при основании железистые.",0
Конкретное языковое сознание представляет собой социально детерминированное явление.,1
Тело черное.,0
"Покровы тела ног микроямками (видимы только под иммерсионным объективом, х. ЮО.",0
Коммуникативное событие   диалог - это всегда достижение;,1
Имеющийся материал не позволяет определить наличие сосудистых вазицентрических трахеид.,0
"«Генетика есть физиология наследственности изменчивости» (Бэтсон, 1906.",1
"«Сознание,-писал Маркс,-с самого начала есть общественный продукт остается им, пока вообще существуют люди» (цитата);",1
"Голова заметно шире груди (53 : 43), значительно шире брюшка (53 : 40), поперечная.",0
Не растворим воде не флуоресцирует.,0
"Под дискурсивной деятельностью нами понимается разновидность речевой деятельности, направленной на осознанное целенаправленное порождение целостных речевых произведения.",1
Случайность здесь понимается   беспричинность.,1
", голые, до -3 диам.",0
Нотогастр (рис.,0
Модусы   принадлежность отдельных высказываний показатели метатекста   особые текстовые «нити»  сплетаются авторский узор;,1
"Таким образом, контекст - это лингвистическая ситуация.",1
"Микротвердость (П. МТ-3, нагрузка 50100 г) составила 752-824 кг/, среднем (17 замеров) 795 кг/, т.  е.",0
"Соцветие многоцветковое, рыхлое, щитковидное; цветоножки гипантии курчавым опушением, уменьшающимся но мере созревания плодов; чашелистики яйцевидно-треугольные или широкотреугольные, при плодах приподнятые или прямостоячие; тычинок 18-20; стилодиев 3-5, свободных; плоды шаровидные, небольшие (0.7-0.8 диам.), черные, суховатые.",0
Ориентировка: Yи Z лежат плоскости а. Ъ.,0
"Передние задние линии Банкса развиты обеих парах крыльев, стигмы белесые, хорошо заметны темном фоне.",0
"В. 3. Д, 3.",0
"Глаза выпуклые, овальные.",0
"""Умственное действие характеризуется тем же: оно также представляет определенное целенаправленное изменение своего предмета Умственное действие есть умение произвести «мысленное» преобразование предмета.",1
", 8-10-цветковые.",0
