text,label
"Цепочки вершинной части жгутика усиков 7-9-члениковые (рис. 1, 7).",0
"Сосудисто-лучевая иоровость точечная, поры мелкие 1.5-2.0 мкм, округлые или втянутые по оси луча, расположены супротивно и диффузно, каждая радиальная стенка несет от 3 до 6 (8) пор (обр. 260, табл.",0
"Показатели преломления для света с длиной волны 589 нм составляют: Np= 1.708(5), Nm = 1.730(5), Ng = 1.735(5).",0
"Мариинскит не люминесцирует в коротковолновом (254 нм) и длинноволновом (315 нм) ультрафиолетовом свете, в катодных лучах.",0
"Голова шире груди (53 : 43), шире брюшка (53 : 40), поперечная.",0
Губы низкие.,0
Контекст - это понятие эко- логическое.,1
"Строго говоря, это («геномные мутации») – модификационные (т.е.  ненаследуемые) изменения белков, которые тем не менее влекут за собой наследственные изменения генома.",1
"Максиллы серо-желтые, продольные, шагренированы как хелицеры, с беловатой вершиной.",0
В заднем крыле 2.,0
что оно  (идеальное) является общественно-историческим продуктом;,1
Растение 60-80 см выс.,0
"Как уже отмечалось, идеальное является не индивидуально- психологическим, а общественно-историческим фактом.",1
"Цветки розовые, розоватые, желтоватые.",0
"Далее, не всякое общение является непосредственной реализацией именно и только общественных отношений.",1
"Вычисленная из средних значений пт, ng и 2F, эта величина может быть оценена как 1.722.",0
Минералогия.,0
Под текстом Ю.М. Лотман понимает «...,1
"Это не плоскость, даже не емкость, заполненная образами и процессами.",1
"Стеклит формирует, как правило, с эвхлорином, алюмоключевскитом, лаш бейнитом и гематитом, тонкие корочки площадью до 1.5x2.5 см на поверхности вулканического шлака (рис. 1, б).Стеклит с Толбачика прозрачный, бесцветный, в агрегатах белый до сероваго-белого.",0
с ланцетными влагалищами; пластинки 5-8 см дл.,0
Спайность не наблюдается.,0
каждое подобное движение - это коммуникативное событие;,1
Альтернативный сплайсинг – образование нескольких разных зрелых Р. НК из одинаковых пре­Р. НК за счет исключения некоторых экзонов и/или оставления частей интронов.,1
"Счастье - это скорее состояние, дление.",1
"Целесообразность как первопринцип биологии представляется синтезом причинности и случайности – случайной причинностью или причинной случайностью – особой формой закономерности, отнятой, «отжатой» жизнью, живыми системами у случайности как дополнительная закономерность.",1
Грудь.,0
"Третий членик в 1.3-1.6 раза длиннее 4-го, равен 0.8-1.0 длины 6-го членика, 1.0-1.3 длины шпица, с 3-12, в норме с 4-8, вторичными ринариями в базальной части (рис. 1 б).",0
Смысл жизни как стремление с наибольшей полнотой реализовать себя в жизни;,1
"и по этой причине другое часто используемое название (особенно в физике плазмы) - это «сила Гапонова-Миллера».  где  - векторный потенциал поля, E:o(r) и w - амплитуда его напряженности и частота, горизонтальная черта обозначает усреднение по периоду поля.",1
"Модели с двумя дублетами хиггсовских полей, являющиеся расширением С. М, рассмотрены в .",1
"Семя в зрелом плоде отстает от перикарда, на брюшной стороне плоское.",0
"В англо-американской традиции  навык (skill) – это сложно организованный поведенческий паттерн, приобретаемый в результате тренировки и практики.",1
"Марксистская психология рассматривает сознание как функцию мозга, представляющую собой специфически человеческое отражение бытия.",1
"«клавитурщик» – технический создатель текста, никак не выражающий своей позиции по обсуждаемым проблемам;",1
"Дискурсивная деятельность и, шире, дискурсивное поведение есть способ самовыражения языковой личности;",1
Формулы щетинок и солен идиев представлены в табл.,0
", с остатком столбика около 0.25 мм дл.",0
"Таким образом, текст представляет собойсообщение, в котором снимается энтропия, порождаемая отдельным предложением.",1
"Значение плотности, измеренное методом тяжелых жидкостей, составляет 2.48(3) г/см3.",0
"Смысл жизни как ответственность за ее осуществление, за ее способ связан с потребностью и способностью самостоятельно, на свой страх и риск, строить и осуществлять ее.",1
"психика есть функция, свойство человека как материального, телесного существа, обладающего определенной физической организацией, мозгом.",1
где D - коэффициент диффузии частиц в растворе.,1
Описание.,0
Каждая пара штрихов включает одну пору.,0
В ультрафиолетовых лучах (X 240-400 нм) не люминисцирует.,0
"""темный фотон (Т. Ф) A′ - массивный векторный бозон, который может смешиваться с обычным фотоном посредством «кинетического смешивания».",1
"Тело удлиненно-овальное, 2.24-3.20.",0
malawi и Ph.,0
"Голова в густых длинных волосках, размеры которых в 2 раза превышают длину волосков на глазах.",0
А.Ф.Корниенко постулирует: «психика – это свойство мозга; нет мозга – нет психики» .,1
Наше ощущение времени как независимой от Бога беспредельной протяженности; а центром Земли служит гроб Господень.,1
Описание.,0
"где C(φ) - оператор поворота вокруг некоторой оси, 1 - пространственная инверсия.",1
", заглубленный.",0
"Этот образ и есть то, как я представляю себе данное высказывание как целое.",1
"Усики 11-члениковые, булава усиков 6-члениковая.",0
Боковые грани пластинок проиндицировать не удалось.,0
"discours – речь) – связный текст в его совокупности с экстралингвистическими – прагматическими, социокультурными, психолингвистическими и др.",1
"Диалог - это наш символический и корпореальный контакт с объектом вне нас, который мы пытаемся понять, т.е.  к которому мы пытаемся отнести себя.",1
"Глазки крупные, расположены на вершинах выростов, имеют пластинку, окруженную широким гиалиновым кольцом.",0
"Грудь выпуклая, равной длины, ширины и высоты, короче брюшка (43 : 52).",0
"""любое функциональное состояние является результатом включения мозга в конкретную деятельность, в ходе которой оно активно преобразуется, обусловливая успешность реализации этой деятельности.",1
Агрегаты состоят из мелких удлиненных пластинчатых кристаллов объединенных в параллельные или расходящиеся пучки (рис. 2).,0
"Третий членик усика (флагелломер 1) в 1.6- 1.7 раза длиннее своей ширины, в 3.8-4.0 раза длиннее 2-го членика, длина 3-го членика составляет 0.7 длины 4-го членика; длина последнего составляет 1.0- 1.05 длины 5-гс членика.",0
Нерастворим в Н. С1 и HN03.,0
Голова.,0
"Даже сама идея хроногеометрии о времени как о четвертом измерении пространства - времени; формы пространства и времени, будучи абсолютными условиями бытия; представление о временной последовательности одноместных событий как односторонней причинно-следственной связи; биологическое время остается организменным понятием; организменное время следует считать физическим временем.",1
"Минерал представлен белыми плотными мелоподобными агрегатами размером до 3 см (рис. 1) в крупных пустотах или сростками волокнистых кристалликов, расположенных в мелких пустотах среди грейзенов.",0
"Нотогастр (рис. 1, 1,2) округлой формы.",0
