text,label
"Экзоны – участки Д. НК, копии которых со- ставляют зрелую Р. НК.",1
"Для бактерий возможно определение «ген – участок Д. НК, кодирующий первичную структуру одной полипептидной цепи или одной Н. К, или одной t.",1
"Л. Долежел, наоборот, рассматривает текст как автономную семиотическую структуру (из цитаты);",1
"у основания ребристые, простые или от середины ветвистые, с короткими междоузлиями.",0
"Макроскопически в штуфах минерал непрозрачен, в шлифах - прозрачный, хрупок.",0
образующими на нотогастре тонкие прерывистые поперечные полосы.,0
Голова в густых длинных волосках.,0
"Это одновременно и единица бытия, объединяющая в себе объективно-социальное и субъективное, психологическое начало, обладающая своеобразной внутренней структурой и орга­низацией.",1
"Длина субкапитулюма больше, чем его ширина (295-319 х 254-270).",0
"Естественно, что условия жизни - это, прежде всего, другие люди, поэтому потребность в понимании, в признании непосредственно связана с первой, составляет ее (более или менее) самостоятельную сторону.",1
"Дорсальные волоски на 3-5-м тергитах головчатые (0.022-0.028), 0.7-0.8 базального диаметра 3-го членика усиков.",0
Измерения проведены на микротвердометре У. И П. МТ-3 при нафузке 50 г. Излом ступенчатый.,0
где M - матричный элемент процесса;,1
Ориентировка.,0
Сохранение образа сокращенной части действия является условием его сознательности.,1
(рис. 1).,0
"Дискурсивная деятельность и, шире, дискурсивное поведение есть способ самовыражения языковой личности;",1
Столбик короче верхней губы.,0
Структурность и целенаправленность - вот две важнейшие характеристики всякой специфически человеческой деятельности.,1
(цитата);,1
Твердость 5 по шкале Мооса.,0
"лучи в числе 6-17, до 2-3.5 см дл.",0
", в очертании яйцевидные, перистые, с сегментами сидячими, яйцевидными, до 1.5 см дл.",0
Стороны панциря прямые.,0
"Твердость по Моосу В1/», микротвердость, измеренная на П. МТ-3 при нагрузке 150 г (тарированном по NaCl), 1725 кг/мм2 (среднее по 12 замерам, при разбросе 1681-1771 кг/мм2).",0
Хромосомные мутации – тоже суть события преимущественно рекомбинационные;,1
Просвет фаринкса тикулизирован.,0
"Это - учение об одной из сторон одного из видов или аспектов деятельности - именно речевой деятельности""",1
"Пальпы (139-143) четырехчленниковые, формула щетинок 0-1-3-10(+1ш).",0
"Стебелек поперечный (10 : 34), в продольных резких морщинках, 2-й тергит поперечный (26 : 40), в продольных морщинках, достигающих % длины тергита.",0
"Л. Долежел среди основных параметров текста называет мотив (motif) - главное содержание, которое проходит в разных формах через весь текст (произведение).",1
Сама природа была богодарованной природой.,1
"изоляция - опять-таки не направляющий фактор эволюции, а фактор филогенетической дивергенции""",1
Клетки с апикальными щетинками и воротником вокруг проксимального конца жгутика.,0
Излом ступенчатый.,0
"Твердость микровдавливания VIIN = 522-604 кге/мм2, VIINcp (по 7 отпечаткам в 4 зернах) - 575 кге/мм2.",0
malawi Самка.,0
Арангасит обнаружен в пустотах среди кварц-мусковит-турмалин-суль- фидных жил и околожильных грейзенов.,0
Постботридиальная и нотогастральные поперечные видимы только в расчлененных экземплярах.,0
"Многолетнее растение до 30 см высотой, с тонким от 2 до 5 мм в диаметре длинным стержневым корнем.",0
", пластинка его широкояйцевидная, длиннее ноготка (рис. 1).",0
"Смысл жизни как ответственность за ее осуществление, за ее способ связан с потребностью и способностью самостоятельно, на свой страх и риск, строить и осуществлять ее.",1
Узкая пленчатая верхушка чешуи без ресничек по краю или с немногими короткими ресничками.,0
2V= 50(10)°.,0
Стрелки голые.,0
"И те и другие тонкие, 5-10 мкм, до 30 мкм толщиной.",0
"Черта белая, блеск стеклянный.",0
", черновато- или зеленовато-бурые, слабо-блестящие или матовые, с 3-5 расширенными бахромчатыми околоцветными щетинками.",0
"Равным образом, столовая - это комната, где принимают пищу, или учреждение общественного питания;",1
"В отличие от мотивов, которые в психологии рассматриваются как выражение потребностей, смысл - это не только стремление к чему-то, не только будущая цель, определяемая мотивом, но и то переживание, которое имеет место в процессе реализации данного мотива (или их совокупности).",1
Тегмен прямоугольной формы с тонкими склеротизованными отростками.,0
"Диалог - это наш символический и корпореальный контакт с объектом вне нас, который мы пытаемся понять, т.е.  к которому мы пытаемся отнести себя.",1
"Почки мономорфные, яйцевидные или округло-яйцевидные, по бокам килеватые, темно- или красновато-коричневые, шерстисто-опушенные.",0
"Темно-коричневая, переднеспинка латерально с 2 щетинками.",0
Длина 13-го флагелломера 544-560 мкм;,0
"Семенник один, прямой.",0
"Причина такого странного положения - собственное время сравниваемых популяций, т.е.  дления.",1
"предметом моего действия являются звуки речи, а буквы являются только средством обозначения этих звуков;",1
Орешки неизвестны (рис. 1).,0
"субъект выступает лишь как некая абстрактная, психологически """"не наполненная"""" целостность.",1
"Фр всегда является частью комплекса функций, выполняемых комплексом средств, среди которых одни играют роль исходных систем, а другие  - роль среды.",1
"Дарвинизм или теория происхождения видов естественным отбором является одной из основных теорий телеологии и состоит из трех частей: из теории изменчивости живых систем, теории естественного отбора в борьбе за существование и теории наследственности (генетики).",1
"Листья рассеянноопушенные, с курчавым опушением,листовые пластинки цветущих побегов широкояйцевидные или широкоэллиптические, 3-6 см дл.",0
"«Индивид как собственник содержаний своего сознания, как автор своих мыслей, как ответственная за свои мысли и желания личность, такой индивид является чистым социально- идеологическим явлением» .",1
"Коммуникацию как (само) раскрытие понимания, можно рассматривать как процесс своеобразной навигации.",1
"где c0 - концентрация раствора.""",1
Отношение длины тела к длине крыла 1.51.,0
"Термин focus служит для выделения маркированных элементов текста (слова, словосочетания, фразы, предложения).",1
"Блеск минерала стеклянный, черта белая.",0
Это есть три (как минимум) сложные модусные перспективы в тексте; сложные модусные перспективы – это не сам модус.,1
"Поэтому смысл жизни - это не только будущее, не только перспектива, но и мера достигнутого человеком, оценка достигнутого своими силами по существенным для личности критериям.",1
"Край створки узкий бесструктурный, отогнутый.",0
Зубцы чашечки ланцетные или треугольные.,0
"Мутация – наследуемое изменение генетического материала, не сводимое к характеристикам генетического материала (генотипа) родителей.",1
"Задние бедра и голени утолщены на вершине (рис. 1,3-5), задние бедра сужены в основании.",0
"Глазной мостик узкий, 2-рядный (рис. 2).",0
"Цвет черты темно-синий, цвет порошка - темно-синий, чернильно-синий, неоднородный.",0
Тело закруглено и сужено.,0
Мезокарп из паренхимных клеток.,0
Пространственную организацию ядра также рассматривают как «механизм эпигенетической регуляции»;,1
Глаза расположены в два ряда.,0
"Дорсоиентральных щетинок 9, преалярных - 4.",0
"где ΔG(n) - работа по образованию кластера размером n , равная изменению термодинамического потенциала Гиббса при образовании в растворе кластера из n мономеров.",1
Воспроизведение – дискретный процесс деления жи- вой системы на несколько частей;,1
"Панцири треугольные, четырехугольные.",0
"Марксистская психология рассматривает сознание как функцию мозга, представляющую собой специфически человеческое отражение бытия.",1
"Длина передних крыльев в 2.5 раза больше их ширины, Стигмальная жилка в 4.3 раза больше маргинальной и в 1.4 раза меньше постмаргинальной жилки.",0
", крупнозубчатыми.",0
"В клетках лучей и аксиальной паренхимы обнаружены кристаллы оксалата кальция и кристаллический песок (обр. 261, табл.",0
"Функция данной лексемывыступает не как отдельный самостоятельный объект, а как один из элементов более широкого целого во взаимодействии с другими его элементами.",1
Межсосудистая поровость точечная очередная.,0
"Под дискурсивной деятельностью нами понимается разновидность речевой деятельности, направленной на осознанное и целенаправленное порождение целостных речевых произведения.",1
"Еще один широко используемый термин – некогнитивные навыки – пришел из экономических исследований, где под ним понимается все, что не относится к рациональным аспектам принятия экономических решений .",1
"Например, лексическое понятие слова аптека толкуется как «учреждение, в котором изготовляются и продаются лекарства» (Словарь Ожегова).",1
