text,label
обрамляют слои квадратных короткостоячих 1.,0
жизни.,0
Глазное (трапециевидным срединным).,0
"Кисти -35-цветковые, густые, отстоящими.",0
"Прицветники лопатчатые, чуть короче цветоножек, негусто черноволосистые.",0
"Важнейшей рода, лежащей основании мнемонического владения, мне представляется фрагмент.",1
"Двух-трехрядные могут быть однорядных окончаний, однорядными окончаниями чаще.",0
"Перфорационные (обр. 260, табл. ), размещены скошенных, реже боковых стенках.",0
"полезный, несомненно, функциональным феноменом,назвали всю архитектуру функциональной.",1
"лишь некая абстрактная, психологически """"не наполненная"""" целостность.",1
(голотип).,0
ряда.,0
"Естественно, -, прежде, люди, поэтому потребность, признании непосредственно связана первой, составляет (более  менее) самостоятельную.",1
"Лоб желобком, глубина 0.20-0.22 расстояния усиковых бугров (рис 1).",0
Паук; общая ..,0
Ветви темно.,0
"концентрация мономеров растворе,   ceq - концентрация мономеров растворе равновесном сосуществовании обеих фаз.",1
мандибулы,0
Вариации.,0
"апелляция объяснительным редукционистским должна регресс знания.""",1
Лодочка шире фиолетовым пятном.,0
муравьиные львы рисунка (рис. ).,0
"-14 (18) дважды-, триждынепарноперистые, листочки снизу негусто, сверху коротко белореснитчатые, 13 парные.",0
"Пресекторальное (обычно ), Прекубитальное Кубитоанальное однорядное, добавочных жилок, лишь З имеется замкнутая пятиугольная ячейка.  разветвленная, ветви.",0
Ориентировка: Yи Z лежат плоскости Ъ.  Минералогия.,0
отдельность выражены.,0
"Жить - значит участвовать» (из цитаты); мнению, «,-  почти всё человеческой» (из цитаты); мнению, система знаков, подлежащая,   первичная данность (реальность) исходная точка всякой гуманитарной дисциплины.",1
"Оптически двуосный, плеохроизм наблюдается, серые интерференции, угол погасания 45°, = .493(), (определен,  Звягинит полупрозрачный, бесцветный, жемчужно, кремовый, желтовато-, реже бледно-розовый сиренево-розовый.",0
Псих формируется рода единство физиологических предпосылок. ...,1
метров.,0
", вычисленная эмпирической фор мулы параметров элементарной ячейки, .667 .",0
"Мандибула 3-зубчатая, , ее (.",0
Постботридиальная нотогастральные полосы выражены сравнению  ювенильными стадиями видимы только расчлененных экземплярах.,0
"Воплощение– глубоко интимный, психологически содержательный, отнюдь автоматически одномоментально происходящий.",1
"физике сплошных сред пондеромоторные понимаются усредненные, действующие среды обусловленные либо неоднородностью поля, либо неоднородностью среды .",1
"нерелятивистском приближении пондеромоторная, действующая электрон, оказывается направленной вдоль градиента средней интенсивности поля поэтому часто называется градиентной.  причине часто используемое название (особенно физике плазмы) - «Гапонова-Миллера».   - векторный потенциал поля, E:o(r) w - амплитуда напряженности частота, горизонтальная черта обозначает усреднение периоду поля. - напряженности электрического магнитного полей;, р - импульс электрона, v - скорость, энергия;",1
начало /Ссектора сильно сдвигается М. Р-.,0
"Зонтички 11-цветковые; оберточки сходные обертки, короткошероховатые, короче зонтичка; цветоножки -.",0
Соматические  обнаружены.,0
"Ими создается то, генетическим единством органического.",1
