text,label
Костальная жилка заходит за вершину R4 + 5 на 40-48 мкм.,0
"В отечественной психологии под навыком принято понимать действие, доведенное до автоматизма путем многократных повторений;",1
"Прилистники широкосерновидные, с малым количеством крупных зубцов, на стерильных побегах более крупные.",0
Описание.,0
И эту ситуацию хочется назвать имитацией авторства.,1
"А и З. А коротко двуветвистые, обе соединены с предыдущими короткими жилками.",0
"Показатели преломления, измеренные в иммерсионных жидкостях (X = 589 нм): Np = 1.626(5), Nm = 1.714(3), Ng= 1.740(5).",0
Что же такое лингвистика?,1
"Длина нерок 2.9-3.2 мм, отношение их длины к длине тела у самцов 0.32-0.36, самок 0.27-0.31.",0
Случайность здесь понимается как беспричинность.,1
Длина передней шпоры передних голеней у сухих экземпляров кажется небольшой и не доходит до середины задней шпоры.,0
"""Вьюрки - очень плохие летуны;",1
Эпимеральная область (рис. 1.2 2.,0
"К. Ф следует признать первичной, непосредственно заданной в языковом сознании говорящих единицей языковой деятельности;",1
Сравнительно мелкие и тонкие черви.,0
"Дарвинизм или теория происхождения видов естественным отбором является одной из основных теорий телеологии и состоит из трех частей: из теории изменчивости живых систем, теории естественного отбора в борьбе за существование и теории наследственности (генетики).",1
Индивидуальное и социальное в сознании человека говорящего – характеристики диалектически взаимосвязанные.,1
"Эзофастома бокаловилная, вооружена более крупным дорсальным зубом и двумя мелкими, едва заметными субвентральными зубами.",0
"Иногда стеклит формирует, как правило, вместе с эвхлорином, алюмоключевскитом, лаш бейнитом и гематитом, тонкие корочки площадью до 1.5x2.5 см на поверхности вулканического шлака (рис. 1, б).Стеклит с Толбачика прозрачный, бесцветный, в агрегатах белый до сероваго-белого.",0
"Епифановит оптически двуосный, отрицательный.",0
Излом раковистый.,0
где q - это приливный заряд.,1
Два сравнительно крупных рулька в форме изогнутых “лодочек”.,0
"Таким образом, под текстом здесь предлагается понимать не фиксированную устную речь..",1
"Наука – система знаний, состоящая из научных понятий, законов и теорий.",1
Длина головогруди 1.0.,0
"Такое понимание мышления хорошо выражено Э. В. Ильенковым, подчеркивающим необходимость рассматривать «мышление как деятельность, созидающую науку и технику, то есть как реальный продуктивный процесс, выражающий себя не только в движении слов, а и в изменении вещей» (из цитаты).",1
Лоб и щеки слегка выпуклые.,0
", довольно узкие, зеленые; наружные листочки обертки от яйцевидных до яйцевидно-ланцетных, прилегающие к внутренним, но краям довольно широкобеловатые, почти перепончатые, с заметными жилками, без рожков, внутренние листочки линейно-ланцетные, без рожков или отчасти с едва заметными рожками.",0
"«Труд,- писал Маркс,- есть прежде всего процесс, совершающийся между человеком и природой, процесс, в котором человек своей собственной деятельностью опосредствует, регулирует и контролирует обмен веществ между собой и природой» (цитата);",1
"Цветки розовые, розоватые, желтоватые.",0
"Боковые глазки соприкасаются с внутренними орбитами глаз, удалены от поперечного киля на расстояние, равное поперечному диаметру глазка.",0
