text,label
Щетинки .,0
"механизм адаптации целостного растения к условиям , который A.Trewavas  называет , в действительности является суммой и кооперацией совокупности процессов , осуществляемых клетками и органами растения .",1
"Кисти 3-4.5 см дл. , цветки поникающие .",0
"ориентировка : Ng = а , Nm = b. В свете минерал , без дисперсии и плеохроизма .",0
"Листья на черешках 2-3 см дл. ; с влагалищами ; пластинки 5-8 см дл. , 2-3 см шир. , в очертании , с сегментами почти , до 1.5 см дл. , 1 см шир. Зонтики до 4-5 см в диам. ; лучи в числе 6-17 , слегка , до 2-3.5 см дл. , слегка ; листочки обертки в числе 5-7 .",0
"Характерен плеохроизм от ( по Ng ) , ( по Nm ) , до ( по Np ) .",0
"Для агрегатов черта , блеск , твердость 1-2 .",0
"Оно может рассматриваться не только как акт осознанного , рационально оформленного речевого обмена информацией , но и в качестве контакта между людьми .",1
Экзокарп и кожура из клеток .,0
"Это и реплика разговора , и роман или трактат .",1
"Чашечка с зевом до 4.5 мм дл. , зубцы в 1.5-2 раза трубки или иногда равны ей .",0
Описание .,0
"; где ΔG ( n ) - работа по образованию кластера размером n  , изменению потенциала Гиббса при образовании в растворе кластера из n мономеров .",1
"Как отмечает Э. В. Ильенков , « есть , тем более не факт , а факт , продукт и форма производства » ( цитата ) ; « Сознание , -писал Маркс , -с самого начала есть продукт и остается им , пока вообще существуют люди » ( цитата ) ; « Труд , - писал Маркс , - есть прежде всего процесс , совершающийся между человеком и природой , процесс , в котором человек своей деятельностью опосредствует , регулирует и контролирует обмен веществ между собой и природой » ( цитата ) ; Как уже отмечалось , является фактом .",1
"Конечности : коксы , бедра и 3 членика лапок , вершины члеников лапок , голени и метатарзус .",0
Термин образ автора предложен В.В. Виноградовым как из инструментов анализа речи ; В этой системе представлений начало – одна из трех составляющих структуры текста ( две оставшиеся –основа и сюжет ) .,1
"Таким представлением и является представление речи , трактовка ее как вида деятельности , а именно как деятельности .",1
"Кустарник или дерево с довольно сильно опушенными побегами ; кора ветвей ; колючки вовсе отсутствуют , до 1 см дл. ; почки 2-4 мм в диам. Листья сверху , снизу , с курчавым опушением , с черешками в 1.5-2 раза более , чем пластинки ; пластинки цветущих побегов 3-6 см дл. и 3-5 см шир. , с основанием , ( на 1/3-1/2 половины пластинки ) ; лопасти их зубцами , выемки расположены примерно на уровне середины или трети пластинки .",0
"щетинки adx ( 164-168 ) заметно расширены части , ; ad2 ( 114-131 ) , ad2 ( 98-110 ) и adA ( 98-110 ) слабо расширенные и менее опушенные .",0
Крылья .,0
"Существование , жизнь – цель системы ; Дарвинизм или теория происхождения видов отбором является одной из теорий телеологии и состоит из трех частей : из теории изменчивости систем , теории отбора в борьбе за существование и теории наследственности ( генетики ) .",1
"Секреторные канальцы но 1-4 в ложбинках , на комиссуральной стороне 5-6 ; канальцы отсутствуют .",0
"Индивиды стеклита зачастую в степени расщеплены , иногда напоминают книгу .",0
"Продорсум ( рис. 1 , 2 ) .",0
"Солитоны - волны , локализованные за счет механизмов , - обычно разделяются на два класса .",1
"пример – изменчивость ( разнообразие ) элементов есть результат комбинаторики частиц , воплощенных в системе элементов Д.И. Менделеева .",1
"Цветки собраны в довольно колос , редко мутовки бывают отставленными от и тогда они сидят на ножках в пазухах листьев .",0
"Можно сказать так : всякое значение формы есть вместе с тем ее функция ( в том смысле , что выражение этого значения представляет собой назначение данной формы ) , но не всякая функция той или иной формы есть значение '' '' Развитие лингвистикиназывают дискурсивным переворотом в гуманитарных науках ; текст – данность и моделируемый объект – является не только связующим звеном между коммуникантами в процессе их взаимодействия , но и объектом , природа которого в степени предопределена его функцией ( из цитаты А.Е.Кибрика ) ; произведения представляют собой результат деятельности личности .",1
"« клавитурщик » – создатель текста , никак не выражающий своей позиции по проблемам ; Третий параметр анализа начала – его вес в тексте .",1
"Это - учение об одной из сторон одного из видов или аспектов деятельности - именно деятельности '' '' единицей языка в его употреблении является не слово , не предложение , а текст » ( из цитаты ) ; также понимание термина « абзац » как единицы уже осознано как факт .",1
листья .,0
"Они собраны в агрегаты реже ( рис. 1 , а ) формы .",0
Край чешуйки .,0
"часть тела с стороны более , в разрезе почти формы , к части тело уплощается ( рис. 1 ) .",0
"Урамарсит образует кристаллиты до 2 мм и образования , реже встречается в форме кристаллов размеров до 0.1 мм с формами ( 001 ) , реже ( 010 ) .",0
"Ферроиндиалит , с изломом .",0
Твердость по шкале Мооса 2 уг. Попытки измерить плотность минерала методом уравновешивания в жидкостях не дали результата по причине характера агрегатов .,0
Семенник один .,0
"Плотность , определенная микрообъемным методом , равна 2.82 ( 2 ) г/см3 , а вычисленная для формулы - 2.848 г/см3 .",0
"По краям лучи обрамляют слои клеток , высота которых в 1.2-1.5 раза превышает длину , иногда такие слои перемежаются со слоями клеток .",0
"« Индивид как собственник содержаний своего сознания , как автор своих мыслей , как ответственная за свои мысли и желания личность , такой индивид является явлением »  .",1
"Ведь психика – это не просто система , а суперпозиция , т.е. взаимоналожение систем ( цитата )  .",1
"Грудь на всем протяжении , лишь бугорки .",0
"h38 = 43 = S43 - поворот вокруг оси z , отражения соответственно в плоскостях ( ̄110 ) ( 110 ) , h4 - поворот вокруг оси z на 180◦ , h3 , h2 - повороты на этот же угол соответственно вокруг осей y и x. V ′ - представление группы , знак ⊗ означает произведение матриц .",1
"Цель – аналог следствия ( « причина » ) , стремление – аналог причины , а целесообразность – соответствие цели - обращенный аналог причинности .",1
"Одной из форм общения , получающей распространение под влиянием революции , является и многократно опосредованная коммуникация .",1
"Ноги , с рисунком , в шипах .",0
Кутикула местами с элементами ячеистости .,0
"трактовка состоит в том , что сознание объявляется знанием или убеждением , которое выражается прежде всего в понимании и оценке своих состояний .",1
Си .,0
Тело 2.24-3.20 .,0
Самцы имеют пластинки .,0
"Антенны - длины груди , с постепенно расширяющейся булавой , лишь скапус с пятном .",0
"Клубень 1-1.5 см в диам. Стебли 15-40 см выс. , в части , в сечении , 1-1.5 мм в диам. , в части тонко , от основания почти щитковидно ветвящиеся со слегка дуговидно отогнутыми ветвями .",0
И именно в результате диалога коммуникация как « превращение формы всегда является процессом » .,1
"где концентрация мономеров в растворе , а ceq - концентрация мономеров в растворе при сосуществовании обеих фаз .",1
Черта .,0
"Гнатосома ( рис. 2,3- 5 ) , Длина субкапитулюма , чем его ширина ( 295-319 х 254-270 ) .",0
"пластинки ( обр. 260 , табл. I , 3 ) , размещены на слегка стенках .",0
"Прионы представляют собой факторы у эукариот , но не у млекопитающих .",1
Губы .,0
Размер микрокристаллов до 1 мкм в поперечнике и до 100-200 мкм по удлинению ( рис. 3 ) .,0
"Еще один широко используемый термин – навыки – пришел из исследований , где под ним понимается все , что не относится к аспектам принятия решений  .",1
"В какой-то мере коммуникация как диалог - это задача ; Контекст - не что иное , как наше окружение ; Условия коммуникации , точнее - сама коммуникация является процессом .",1
"В отличие от мотивов , которые в психологии рассматриваются как выражение потребностей , смысл - это не только стремление к чему-то , не только цель , определяемая мотивом , но и то переживание , которое имеет место в процессе реализации данного мотива ( или их совокупности ) .",1
"Флаг 8-12 мм дл. , пластинка его неглубоко ноготка ( рис. 1 ) .",0
В сколах .,0
"Она рассматривает общение на уровне бытия человека » ( цитата ) ; механизм , объединяющий людей в массу независимо от характера совместной деятельности , - заражение .",1
пластинка с 2-4 волосками на диске и 11 - 15 по краю .,0
"Деятельность - это якобы не поведение , а поведение - не деятельность .",1
Автосплайсинг – процесс вырезания интронов из пре­РНК без участия белков . '',1
темя и щеки со сливающейся пунктировкой .,0
"От кинетосом отходят три ленты , состоящие из тесно сближенных микротрубочек .",0
"Нотогастр ( рис. 1 , 1,2 ) формы .",0
"Носик у бобов до 2 мм дл. , слегка .",0
"Лодочка немного крыльев с пятном на верхушке ( 1 , в ) .",0
"Микротвердость ( ПМТ-3 , нагрузка 50 и 100 г ) составила 752-824 кг/мм2 , в среднем ( 17 замеров ) 795 кг/мм2 , т. е. около 6 по шкале Мооса .",0
Лоб .,0
"Блеск минерала , черта .",0
"Эти черви - гиганты по сравнению с другими видами рода РИаепосош , кроме Р. polycirra , который также имеет размеры .",0
На клипеусе 9 щетинок .,0
е. относительно Г10011 .,0
"На сепараторах минерал отделяется в фракцию при токе , но магнитами не притягивается .",0
"что оно ( идеальное ) является продуктом ; Язык , как и системы , - это не просто заместитель вещей .",1
"Фр всегда является частью комплекса функций , выполняемых комплексом средств , среди которых одни играют роль систем , а другие - роль среды .",1
"Экзоны – участки ДНК , копии которых составляют РНК .",1
"Нередко лучи имеют 1-2 участка ( обр. 262 , табл. II , / , 3 , 4 ) .",0
"Членики сосудов с толщиной оболочек 1.8-2.5 мкм , 100-190 мкм дл. и 15-18 мкм в диам. , без клювиков ( обр. 260 , табл. I , / , 2 ) или с клювиками , расположенными чаще с одного конца членика .",0
"Крылья на верхушке , 9-13 , 2.5-4 мм длиной .",0
Это есть три ( как минимум ) перспективы в тексте ; перспективы – это не сам модус .,1
"Под микроскопом в проходящем свете звягинит , не плеохроирует .",0
"Язык предстает как иерархия единиц порядков ; целое , которое мы называем нашим “ знанием ” языка ; которое можно определить как заданность ; языковой материал , с одной стороны , существует для говорящего в виде , как собрание языковых “ предметов ” ; единицей такого рода , лежащей в основании мнемонического владения языком , мне представляется фрагмент .",1
"Над вдавлением морщинки расположены дугообразно , образуя круг .",0
"Клетки очень , обычно , с щетинками и воротником вокруг конца жгутика .",0
Длина ( мм ) .,0
Просвет фаринкса сильно тикулизирован .,0
"Topic - это тема текста , его содержание .",1
Описание .,0
"Голова заметно груди ( 53 : 43 ) , значительно брюшка ( 53 : 40 ) , .",0
Преклоакльные супплементарш органы отсутствуют .,0
"Мотивировка наименования , тот признак , который делается представителем понятия для сознания , -это СД ; Равным образом , столовая - это комната , где принимают пищу , или учреждение питания ; Точно так же столяр – это « рабочий , занимающийся обработкой дерева и пилением изделий из него » , т.е. изделий , а не только « столов » .",1
побеги с 2-6 листьями ; оси соцветий .,0
"Таким образом , в порядке можно определить общение как систему процессов , обеспечивающих взаимодействие людей в деятельности , реализующих отношения и использующих средства , прежде всего язык . ''",1
"Кисти довольно , по оси опушенные отстоящими волосками .",0
Епифановит имеет цвет и черту .,0
Жизнь по природе своей .,1
В проходящем свете зерна .,0
Лента л2 проходит близко от ленты лЗ ( рис. 4/1 ) .,0
Рострум широко закруглен .,0
"каждая Фр в данном высказывании представляет собой вариант , восходящий к комплексу Фп и к типу функционирования единиц .",1
Такие модификации системы называются .,1
В этом типе анализа каждое из средств рассматривается как обладающее потенциалом .,1
« Основная цель системы – существование – жизнь » ( из цитаты ) .,1
Вариации .,0
плотность равна 3.56 г/см3 .,0
условием мировоззрения стали объективность и независимость явления от наблюдателя ; Наблюдатель здесь - сила ; ценностью сделалась личность .,1
Вторым свойством начала следует назвать степень сложности ; И эту ситуацию хочется назвать имитацией авторства .,1
"Лоб с желобком , глубина которого составляет 0.20-0.22 расстояния между вершинами усиковых бугров ( рис 1 а ) .",0
"щетинок 9 , преалярных - 4 .",0
"Сплавы этой серии представляют собой поколение супермагнитов , широко используемых в технологиях приборов и устройствах спинтроники '' '' С точки зрения эффект Капицы-Дирака представляет собой индуцированное рассеяние .",1
Длина крыльев в 4.5 раза их ширины ; бахромка этих крыльев .,0
Со-дление взаимодействующих популяций удобно называть сосуществованием .,1
"Брюшко без рисунка , дорсально с щетинками .",0
Кутикула орнаментирована .,0
"Строение тела со особенностями : надкрылья ( рис. 1,5 ) , чем у видов , существенно заходят за вершины пластинок ( длина надкрылий приблизительно в 2.3 раза ширины их поля ) , содержат в поле 7-8 жилок , из которых , а некоторые ( в части поля их ветви несколько , а в части - почти и довольно ) ; поле надкрылий жилкование надкрылий почти ; части тела ( кроме гениталий ) также на но пластинка этих видов по форме ; гениталии ( рис. 2 , 5 ; 4 , 1-3 ) с эктопарамерами , в профиль , но наиболее выдающийся сзади выступ эктопарамеров расположен выше ( в половине эктопарамеро в ) , а выемка части эпифаллуса почти .",0
"деятельность не есть совокупность действий , не есть проявление организма , точно так же деятельность не есть совокупность актов , совокупность « брошенных » высказываний .",1
Терминус хвоста без кутикуляций колец .,0
"Диск хорошо развит , 5-6 мм в диам. , зев , 1 мм в диам. , головка рылец .",0
"мерикарпии 3.5-4.2 мм дл. , 0.6-1 мм шир. , по спинке , ребра четко выступающие , комиссура .",0
Чаще всего используется калька с – « навыки » .,1
"кристаллики канонеровита ( из сростков ) , сингонии , с симметрией 2/т , с гранями 7 , 6 , е и не всегда ( по результатам измерений с применением столика Федорова ; табл. 1 ) ; кристаллики удлинены по ( 001 ) и уплощены по ( 100 ) ( см. рисунок ) .",0
"Соленидии со , на лапках 1 , ш на лапках II , ф на голенях III притупленные дистально ; другие соленидии .",0
"Показатели преломления , измеренные в жидкостях ( X = 589 нм ) : Np = 1.626 ( 5 ) , Nm = 1.714 ( 3 ) , Ng= 1.740 ( 5 ) .",0
"Форма пор за счет инкрустации породой ( обр. 260 , табл. I , 2 ) .",0
Спайность не наблюдается .,0
"Наука – система знаний , состоящая из понятий , законов и теорий .",1
"членик в 1.3-1.6 раза 4-го , равен 0.8-1.0 длины 6-го членика , 1.0-1.3 длины шпица , с 3-12 , в норме с 4-8 , ринариями в части ( рис. 1 б ) .",0
"щетинки ( 69-82 ) слабо утолщенные , опушенные .",0
