text,label
"Плоды эллипсоидальные, 13-18.",0
"По его мнению, текст   система знаков, подлежащая пониманию, есть первичная данность (реальность) исходная точка всякой гуманитарной дисциплины.",1
Воспроизведение – дискретный процесс деления жи- вой системы на несколько частей;,1
"Крупные среднего размера черные бурые муравьиные львы прозрачными крыльями без рисунка (рис. ),  ).",0
"Смысл жизни - только будущее, только жизненная цель, но психологическая «кривая» постоянного ее осуществления.",1
Но «слово»...,1
(цитата) .,1
", а особую разновидность языкового творческого акта, имеющую свои параметры, отличные от параметров устной речи.",1
"Шпоры рыжие, почти прямые, короткие, всех ногах короче первого членика лапки.",0
"Л. Долежел среди основных параметров текста называет мотив (motif) - главное содержание, проходит разных формах через весь текст (произведение).",1
Однако прекращение борьбы за существование вызываемого ею отбора приспособленных означало бы прекращение жизни   особого способа существовании материи.,1
"Хвост дзинный, состоит передней конической части задней более узкой, цилиндрической.",0
"Щетинки b, а, а, J6, а, Ь, (65-82) простые, опушенные;",0
"Биология – наука о живых (биологических) системах, изучает преимущественно характерные или специфические признаки, свойства живых систем, отличающие живые системы от неживых.",1
других концепциях сознание рассматривается   соотнесение индивидом своего субъективного опыта социально-выработанными образцами.,1
Наука о целях целесообразности – телеология.,1
"Интроны – участки Д. НК, копии удаляются первичного транскрипта отсут­ ствуют зрелой Р. НК.",1
", чрезвычайно хрупких разрушающихся под иглой.",0
проходящем свете зерна прозрачны.,0
Ориентировка: Yи Z лежат плоскости а. Ъ.,0
Понятие «социально-эмоциональная компетентность» чаще всего встречается контексте образовательного процесса.,1
"""Функция потенциальном аспект иной единице языковой системе способность к выполнению определенного назначения к соответствующему функционированию.",1
"Строго говоря, («геномные мутации») – модификационные (т.е.  ненаследуемые) изменения белков, тем менее влекут за собой наследственные изменения генома.",1
Мутация – результат нетождественной репарации.,1
Термин образ автора предложен В.В. Виноградовым   важнейший инструментов стилистического анализа художественной речи; системе представлений авторское начало – одна трех составляющих структуры текста (две оставшиеся – тематическая основа рематический сюжет).,1
"сумму структурных отношений, нашедших лингвистическое выражение» (из цитаты);",1
"Семя зрелом плоде отстает от перикарда, брюшной стороне почти плоское.",0
"Специфика его состоит том, что - идеальное отражение, формирующееся развивающееся процессе исторического развития человека.   отмечает Э. В. Ильенков, «идеальное есть индивидуально-психологический, тем более физиологический факт, а факт общественно-исторический, продукт форма духовного производства» (цитата);",1
"Концы створок не оттянутые, тупо закругленные выростами виде усеченных конусов.",0
эмпирическая выборка временной точке могла бы считаться случайной выборкой; сама постановка вопроса о выборке природной совокупности есть вопрос относительной объективности.,1
", 1984) было замечено, что ламмерит-Р встречается крайне редко.",0
"Существование, жизнь – цель живой системы;",1
"«Сознание,-писал Маркс,-с самого начала есть общественный продукт остается им, пока вообще существуют люди» (цитата);",1
"почки мелкие, шаровидные, - диам.",0
"Си, изогнута.",0
Основным условием научного мировоззрения стали объективность независимость явления от наблюдателя;,1
"Угол V, оцененный кривизне балки разрезе, перпендикулярном оптической оси, составляет 45(10)°, И. ВЫ.",0
"Кристаллы толбачинского стеклита - гексагональные пластинки, чаще же здесь встречаются его многоугольные, неправильной формы, пластинчатые индивиды.",0
"Контекст - что иное,   наше окружение;",1
"Тело непрозрачное, собственной пигментации не имеет, светло-серого  бледно-желтого оттенка, зависимости от съеденной пиши.",0
Рострум широко закруглен.,0
"Зубцы чашечки ланцетные треугольные, почти равные немного короче.",0
"Ренетта мешковидная, 35-45 мкм, расположена зентрально уров) переднего отдела средней кишки.",0
Коммуникативное событие   диалог - всегда достижение;,1
Губы низкие.,0
"Таким образом, синтаксический признак - теоретический конструкт, позволяющий записать синтаксическую информацию (в рассмотренных случаях - информацию об особенностях управления) сокращенном обобщенном виде.",1
9-13).,0
"Стебель тупотрехгранный внизу остротехгранный средней верхней части, верхушке переходит трехгранный прицветный лист, который немного длиннее, равен короче соцветия.",0
"Общение,   вообще, есть, таким образом, способ одновременно условие актуализации общественных отношений.",1
тела .74.,0
СОдействия компонентов на получение фокусированного полезного результата.,1
"Ноги бурые, желтым рисунком, черных редких шипах.",0
"""темный фотон (Т. Ф) A′ - массивный векторный бозон, может смешиваться обычным фотоном посредством «кинетического смешивания».",1
"Аногенитальная область (рис. , ; .",0
"Дорзальное субмаргиналыюе ребро хорошо развито пересекается штрихами, между штрихами нижнем вентральном углу чешуйки располагаются поры.",0
Модусы   принадлежность отдельных высказываний показатели метатекста   особые текстовые «нити»  сплетаются авторский узор;,1
"Хелицеры (303-315) двумя щетинками: chb (77-86) простые, слабо опушенные; cha (8-12) шиловидные, гладкие.",0
"Целесообразность   первопринцип биологии представляется синтезом причинности случайности – случайной причинностью или причинной случайностью – особой формой закономерности, отнятой, «отжатой» жизнью, живыми системами у случайности   дополнительная закономерность.",1
"II, /, , ).",0
"Минерал представлен белыми плотными мелоподобными агрегатами размером (рис. ) крупных пустотах  сростками волокнистых кристалликов, чаще расположенных мелких пустотах среди грейзенов.",0
V= 50(10)°.,0
"«История промышленности,-   отмечал Маркс,- возникшее предметное бытие промышленности раскрытой книгой человеческих сущностных сил, чувственно представшей перед нами человеческой психологией» (цитата);",1
Самец (голотип).,0
"Окончание   отростка служит источником плазменных «пуль», представляющих собой светящиеся следы распространения волн ионизации, скорость движения составляет примерно 200 км/с . Именно она называется апокампом. - якобы поведение, а поведение -.",1
", пластинка его широкояйцевидная, неглубоко выемчатая длиннее ноготка (рис. ).",0
таких колец 27-35.,0
Это основном редкие индивиды осколочного облика бутылочно-зеленого цвета.,0
"Урамарсит образует несовершенные пластинчатые кристаллиты  пленочные образования, реже встречается форме уплощенных квадратных кристаллов размеров 0.1 основными формами (001), реже (010).",0
