text,label
"Биологической формой изоляции является, например, сдвиг гнездового периода во времени.",1
"Целесообразность – закономерность, принцип, аналогичный причинности, но не сводящийся к ней.",1
"Мезо- и метаплевры блестящие, в тонких поперечных морщинках.",0
"Древесина рассеяннососудистая, просветы сосудов в поперечном сечении округлые и овальные, расположены группами по 3-4, рыхлыми радиальными и косотангентальными цепочками по 3-5 (обр. 261, табл.",0
Лоб.,0
"Листья овальные, продолговатоовальные или продолговато-обратноланцетные, острые или короткозаостренные, в основании ширококлиновидные или округлые, пильчатые, с расставленными мелкими согнутыми зубцами, плотные (жестковатые в сухом состоянии).",0
Измерения голотипа.,0
где D - коэффициент диффузии частиц в растворе.,1
"Отсюда вытекает, что в каждом случае преобразования Фп-Фр есть элемент развития (как известно, идея развития в толковании понятий возможности и действительности была вы- сказана уже Аристотелем).",1
Лирифиссуры im расположены медиальнее по отношению к щетинкам е2.,0
"Системой можно назвать только такой комплекс избирательно вовлеченных компонентов, у которых взаимодействие и взаимоотношения принимают характер взаимо.",1
", голые, до 2-3 мм в диам.",0
"Перед клоакой, с 1зентральной стороны кольца кутикулы расширены, чис.",0
"В биологической литературе модули понимаются как подсистемы, характеризующиеся высокой степенью интеграции во внутренних связях и значительной автономностью в связях внешних (Schlosser, Wagner, 2004).",1
"Следовательно, под геномом организма в настоящее время понимают суммарную Д. НК гаплоидного набора хромосом и каждого из внехромосомных генетических элементов, содержащуюся в отдельной клетке зародышевой линии многоклеточного организма.",1
"Контекст - не что иное, как наше окружение;",1
"Несколько неформально модуль развития может определяться как подсистема, проявляющая некоторое относительно автономное поведение (von Dassow, Munro, 1999).",1
"Лоб с продольной срединной бороздкой, более заметной около усиковых бугорков.",0
"Продорсум, нотогастр и аногенитальная область с округлыми поровыми полями диаметром до 20.",0
Твердость по шкале Мооса 2.,0
Темно-коричневый.,0
"Звягинит хрупкий, спайность совершенная по {001}; под микроскопом видны еще два направления средней спайности, перпендикулярные как друг другу, так и грани.",0
"где C(φ) - оператор поворота вокруг некоторой оси, 1 - пространственная инверсия.",1
Стилодни около 0.5 мм дл.,0
Основным условием научного мировоззрения стали объективность и независимость явления от наблюдателя;,1
Столбик короче верхней губы.,0
"Остальная поверхность головы в мелких ячейках, на фоне которых расположены крупные точки.",0
Но «слово»...,1
Жизнь по природе своей диалогична.,1
"Между парапсидальными бороздами расположены продольные, прерывистые морщинки.",0
Зонтики до 4-5 см в диам.,0
", 2-3 см шир.",0
Стороны панциря прямые.,0
"Щупики черные, их 1-й членик с 3 щетинками и слабым сенсорным полем, 2-й короткий, 3-й - узкий и длинный (рис. 2, 6).",0
"Над вдавлением морщинки расположены дугообразно, образуя круг.",0
