text,label
Вторым свойством авторского начала следует назвать степень сложности;,1
Наше ощущение времени как независимой от Бога беспредельной протяженности; а центром Земли служит гроб Господень.,1
"Еще один широко используемый термин – некогнитивные навыки – пришел из экономических исследований, где под ним понимается все, что не относится к рациональным аспектам принятия экономических решений .",1
"Лапки однокоготкопые, все коготки гладкие.",0
"Интроны – участки Д. НК, копии которых удаляются из первичного транскрипта и отсут­ ствуют в зрелой Р. НК.",1
malawi; имеются также мелкие вариации в числе жилок и их ветвей в дорсальном поле надкрылий.,0
и 1.2-1.6 мм шир.,0
"В перечисленных подходах сознание трактуется как нечто, вытекающее из опыта индивида, как интегратор его внутренней жизни - впечатлений, переживаний, мыслей и т.д.",1
"Черешки 0.6-2 см длиной, желобчатые, буроватые, сверху опушенные.",0
Контекст - это понятие эко- логическое.,1
"""основной единицей языка в его употреблении является не слово, не предложение, а текст» (из цитаты); также понимание термина «абзац» как семантико-синтаксической единицыуже осознано как лингвистический факт.",1
"""Функция в потенциальном аспекте (Фп) - это присущая той или иной единице в языковой системе способность к выполнению определенного назначения и к соответствующему функционированию.",1
"""система с результатом  - это «специальный случай» системы.",1
"Последней особенностью психического отражения, на которую мы считаем важным обратить внимание, является то, что, осуществляя интеграцию и ориентацию субъекта во внешнем мире для освоения последнего, в качестве своего обязательного звена психика предполагает также освоение и учет внутреннего мира субъекта – объективной реальности его организма и тела.",1
"и 6-7 см шир.), 5-7-глубокораздельные (на 2/3 половины пластинки), с широким основанием; нижняя пара лопастей отделена от остальных выемкой, расположенной на уровне 1/4-1/3 пластинки.",0
"Головогрудь овальная, спереди тупо",0
Воспроизведение – дискретный процесс деления жи- вой системы на несколько частей;,1
Генитальная пластинка широкоовальная с 2-4 волосками на диске и 11 - 15 по заднему краю.,0
"В функциональной системе результат представляет собой ее органическую часть, оказывающую решающее влияние как на ход ее формирования, так и на все ее последующие реорганизации.",1
"Ноги (рис. 3, 1-4).",0
Сохранение образа сокращенной части действия является условием его сознательности.,1
2. 9-13).,0
"Таким представлением и является «деятельностное» представление глобальной речи, трактовка ее как определенного вида деятельности, а именно как речевой деятельности.",1
"изоляция - опять-таки не направляющий фактор эволюции, а фактор филогенетической дивергенции""",1
"По парагенезису и данным природного образования толбачита CuCl2 (Effcnberger, 1988) и эвхло- рина, температурный интервал устойчивости ламмсрита-p составляет 400-650 °С.",0
"где C(φ) - оператор поворота вокруг некоторой оси, 1 - пространственная инверсия.",1
"Цветоножки не сколько неравные, при плодах слегка утолщенные, 5-7 мм дл.",0
Поэтому историческое развитие органического мира есть  особая форма движения материи.,1
"Стебли многочисленные, 20-35 см высотой, восходящие, покрытые чешуевидными коричневыми листьями, опушены короткими и более длинными вниз изогнутыми, нежелезистыми волосками, выше иногда со значительной примесью коротких железистых волосков.",0
"Тело непрозрачное, собственной пигментации не имеет, светло-серого или бледно-желтого оттенка, в зависимости от съеденной пиши.",0
"Смысл жизни как ответственность за ее осуществление, за ее способ связан с потребностью и способностью самостоятельно, на свой страх и риск, строить и осуществлять ее.",1
Жизнь по природе своей диалогична.,1
"Сред неси инка с парапсидальными бороздами, достигающими Уг ее длины, с грубоячеистой скульптурой.",0
"Листья голые, прикорневые, на черешках 2-3 см дл.",0
"Растения многолетние, поликарпические, почти голые, с вертикальным тонким корневищем, с каудексом, цельным или немного ветвистым.",0
Цветки сидячие или на цветоножках 1-2 мм длиной.,0
"«Текст,- пишет он,- это функция времени» (из цитаты);",1
"усеченная, гладкая, блестящая, серо-желтая с темным головным отделом.",0
"1с (41- 53) дерете новидные, опушенные.",0
Физические и оптические свойства.,0
"Ферроиндиалит хрупкий, с раковистым изломом.",0
"boldyrevi, но отличаются некоторыми перечисленными ниже признаками.",0
"Диалог - это наше вовлечение, «ввержение» в коммуникацию;",1
"Стеклит хрупкий, а очень тонкие листочки гибки.",0
"При этом популяция хищника (жертвы) есть не только причина структуры популяции жертвы (хищника), но и следствие.  популяция выступает и как причина и как следствие.  совокупный вещественно-энергетический субстрат организмов популяции остается всего лишь носителем приспособленности.",1
"Марксистская психология рассматривает сознание как функцию мозга, представляющую собой специфически человеческое отражение бытия.",1
"Плоды 6-8 мм длиной, яйцевидно-веретеновидные, светло-коричневые, рыхло войлочно опушенные, на опушенных ножках 0.5-1 мм длиной (рис. 1, смотри вклейку).",0
Длина тела 6.0-8.8 мм.,0
Эти 22 пространственные группы являются киральными группами.,1
"Фр всегда является частью комплекса функций, выполняемых комплексом средств, среди которых одни играют роль исходных систем, а другие  - роль среды.",1
"В физике сплошных сред пондеромоторные силы понимаются как усредненные по времени си­лы, действующие на элемент среды и обусловленные либо неоднородностью поля, либо неоднородностью среды как таковой .",1
"Крылья обратноланцетные, продолговато-обратнояйцевидные, на верхушке округлые, 9-13, 2.5-4 мм длиной.",0
Венчик белый или синевато-белый с фиолетовым пятном на верхушке лодочки.,0
", довольно постепенно переходящая в носик 2.5-3 мм дл.",0
"Самец (3.5 мм), черный, с длинными черными щетинками тела.",0
"Семя в зрелом плоде отстает от перикарда, на брюшной стороне почти плоское.",0
"речь - это движение, процесс;",1
"Оно представляет собой и отношение людей друг к другу, и их взаимодействие, и обмен информацией между ними, их духовное взаимопроникновение.",1
Мужские сережки 2-2.5 см длиной.,0
"Церки 12-13-члениковые, каждый членик, кроме 1-2 вершинных несет с внутренней стороны 1-3 боковых опорных шипа.",0
А и З. А имеется замкнутая пятиугольная ячейка.,0
К.Ф - это целостный отрезок речи;,1
"Устойчивые сочетания в таком понимании - это не что иное, как бывшие свободные синтаксические построения, окостеневшие в результате многократного употребления.",1
"Адоральные щетинки гладкие: ог) (32-41) листовидные, силь- но расширенные в с редин но-проксимальной части; ог2 (61-49) листовидные, расширенные в срединной части; ог2 (41-49) утолщенные, щетинковидные.",0
"Плотность, вычисленная из эмпирической фор мулы и параметров элементарной ячейки, равна 2.667 г/см3.",0
Эпимеральная формула 3-1-3-4.,0
"предметом моего действия являются звуки речи, а буквы являются только средством обозначения этих звуков;",1
"Стеблевые листья с яйцевидно-ланцетной пластинкой, 10-15 мм длиной, 4-6 мм шириной, на верхушке островатые, по краю волнистые, островато-зубчатые, с 5-8 зубцами, в основании широко-клиновидные, на черешках 1-3 мм длиной, серо-зеленые, сверхус вдавленными жилками, едва шероховатые, снизу с выступающими жилками, опушенные короткими, более или менее оттопыренными нежелезистыми волосками, в пазухах нижних листьев развиты удлиненные стерильные, реже фертильные побеги.",0
"кризис можно рассматриватькак отрефлексированный вызов, задающий необходимость его преодоления.",1
"В первом приближении можно предположить, что изменчивость, наблюдаемая на данном уровне организации (материи), есть результат комбинаторики элементов разнообразия предшествующего, более низкого (предыдущего) уровня организации.",1
"Большинство щетинок простые, некоторые наружные (на ногах I, П), внутренние (на ногах 111, IV) и дорсальные - широкие, вогнуто-листовидные, округлые дистально и трубчатые у основания.",0
"Аногенитальная область (рис. 1, 2;",0
", головка рылец бело-шерстистая.",0
«память есть вечное онтологическое начало».,1
Растение 60-80 см выс.,0
Длина головогруди 1.0.,0
Вычисленная плотность равна 3.56 г/см3.,0
"Общая окраска тела желтоватая с фиолетово-коричневым пигментом вокруг глаз, глазков, усиков, на лбу, по бокам клипеуса, на верхней и нижней губе, верхних и нижних челюстях, щупиках, усиках, ногах, в основаниях нерок, каудального филамента и на последнем сегменте брюшка.",0
"Флагеллум антенн с 7 члениками, членики поперечные, последний членик значительно меньших размеров, почти округлый (рис. 1, 2).",0
Глазное поле поперечное (с трапециевидным срединным полем).,0
"2. А простая, редко разветвленная, З. А имеет 3-4 ветви.",0
"Концы створок не оттянутые, тупо закругленные с выростами в виде усеченных конусов.",0
", крупнозубчатыми.",0
"Итак, текст - это продукт письменного варианта языка.",1
Внутренние губные сенсиллы в форме мелких папилл и едва заметны.,0
"В. 3. Д, 3.",0
"апелляция к объяснительным редукционистским теориям должна рассматриваться как регресс психологического знания.""",1
"Это одновременно и единица бытия, объединяющая в себе объективно-социальное и субъективное, психологическое начало, обладающая своеобразной внутренней структурой и орга­низацией.",1
", толстоватые, отклоненные.",0
Одна из текстообразующих ролей модуса – это также создание автором сложных модусных структур.,1
"На R 8-9 коротких щетинок, на Rl щетинки отсутствуют, на R4 + 5 2-4 щетинки.",0
"4-й членик жгутика усиков в 1.9- 2.0 раза превышает его ширину (рис. 2, 4).",0
"Это и не связи отдельных его """"единиц"""", а внутреннее движение его образующих, включенное в общее движение деятельности, осуществляющей реальную жизнь индивида в обществе.",1
Поскольку стоячая волна есть суперпозиция двух встречных бегуших волн одинаковой частоты; rдe k - волновой вектор одной из бегуших волн.,1
"Мы уже видели, что для Бахтина взаимосвязи между репликами реального диалога (беседы, дискуссии и т.д.) являются наиболее наглядным и простым видом диалогических отношений.",1
"Прицветники линейные или линейно-ланцетные, 4-6 мм длиной, опушенные длинными курчавыми нежелезистыми и короткими железистыми волосками.",0
"Спайность совершенная по (001), хорошая по (100) и (010), отдельности не наблюдалось.",0
