text,label
"Показатели преломления для света  волны 589 нм составляют: Np= .708(5), Nm = .730(5), Ng = .735(5).",0
"Имеется 10 пар генитальных,  пары анальных 4 пары аданальных щетинок.",0
Жужжальца черные.,0
тела 3.15.,0
представление о времени соединение дления течения;,1
темя щеки сливающейся пунктировкой.,0
"Концы створок не оттянутые, тупо закругленные выростами виде усеченных конусов.",0
"Щетинки короткие, 3-4 мкм.",0
Ванадиопаргасит образует преимущественно гипидиоморфные коротко- длиннопризматические кристаллы размером 0.10-0.80 X 0.05- 0.10.,0
Обычно каждая пара штрихов включает пору.,0
"Тело черное, жужжальца черные.",0
"апелляция к объяснительным редукционистским теориям должна рассматриваться   регресс психологического знания.""",1
"Биология – наука о живых (биологических) системах, изучает преимущественно характерные или специфические признаки, свойства живых систем, отличающие живые системы от неживых.",1
Вычисленная плотность равна 3.56 г/см3.,0
", а особую разновидность языкового творческого акта, имеющую свои параметры, отличные от параметров устной речи.",1
Вычисленная плотность владимиривановита Тултуйского месторождения - .436 г/см3.,0
"Гнатосома (рис. ,3- 5), субкапитулюма больше, чем его ширина (295-319 х 254-270).",0
"случае разреженных сред под пондеромоторными силами часто понимаются усредненные повремени силы, действующие на отдельный электрон пространственно-неоднородном электромагнитном поле.",1
"где C(φ) - оператор поворота вокруг некоторой оси, 1 - пространственная инверсия.",1
"«Труд,- писал Маркс,- есть прежде всего процесс, совершающийся между человеком природой, процесс, котором человек своей собственной деятельностью опосредствует, регулирует контролирует обмен веществ между собой природой» (цитата);   уже отмечалось, идеальное является не индивидуально- психологическим, а общественно-историческим фактом.",1
"выделенных кристаллах заметны грани призм (110)(010) нередко видна характерная для амфиболов грубая штриховка, вероятно, гранях (110) (рис. ).",0
"Над вдавлением морщинки расположены дугообразно, образуя круг.",0
"речь - это движение, процесс;",1
"Она (деятельность субъекта) - не только воздействие, изменение мира, но общественный акт, позиция.",1
"Зс4d (32-49) тонкие, гладкие;",0
"Лоб продольной срединной бороздкой, более заметной около усиковых бугорков.",0
"Отдельные кристаллики канонеровита (из сростков) бесцветные, моноклинной сингонии, внешней симметрией 2/т, габитусными гранями 7, 6,е малоразвитыми не всегда проявленными (по результатам гониометрических измерений применением столика Федорова; табл.",0
"Уникальность языковой личности конкретного индивидуума есть не что иное,   неповторимость комбинации социально- психологических характеристик ее речевого поведения.",1
"отличие от ламмсрита, встречающегося виде хорошо ограненных кристаллов темно-бирюзового цвета (Филатов др.",0
"Таким образом, результат является неотъемлемым решающим компонентом системы, инструментом, создающим упорядоченное взаимодействие между всеми другими ее компонентами.",1
"Причина такого странного положения - собственное время сравниваемых популяций, т.е.  дления.",1
Спиральные утолщения стенках сосудов волокнистых элементов отсутствуют.,0
Соматические щетинки не обнаружены.,0
"Соцветие зонтиковидное, () короткими веточками.",0
Деятельность человека составляет субстанцию его сознания.,1
одной из распространенных трактовок сознания оно определяется   совместное знание (Joint or Mutual Knowledge).,1
"""Известно , что  ая-либо фигура или группа точек называется киральной, т.е.  обладающей киральностью, если ее изображение идеальном плоском зеркале не может быть с ней совмещено.",1
Мутация – результат нетождественной репарации.,1
"Листья сверху темно-зеленые, рассеянноопушенные, снизу более светлые, курчавым опушением, черешками 5- раза более короткими, чем пластинки; листовые пластинки цветущих побегов широкояйцевидные или  широкоэллиптические, 3-6 см. 3-5 см шир.",0
"Между парапсидальными бороздами расположены продольные, прерывистые морщинки.",0
"О), формирующими полигональный орнамент.",0
тела 6.0-8.8.,0
"Четыре головные сенсиллы форме тонких щетинок .0- .5 мкм, что равно 22-26% диаметра области губ.",0
"Блеск минерала стеклянный, черта белая.",0
"Кустарник или невысокое дерево довольно сильно опушенными молодыми побегами; кора ветвей серая; колючки малочисленные или вовсе отсутствуют, тонкие, до см.   почки мелкие, шаровидные, -4 диам.",0
